ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Prioridad
1383,Sofía,57.0,F,Cartagena,faltan médicos en el centro de salud.,Seguridad,No urgente,2023-02-06,1,0,0,58
1384,Jorge,73.0,Otro,Santa Marta,hay problemas con la recolección de basura.,Educación,Urgente,2023-01-05,1,1,0,85
1385,Sofía,38.0,Otro,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,2024-03-07,1,0,0,60
1386,Carlos,80.0,Otro,Cartagena,queremos más presencia policial.,Seguridad,No urgente,2023-04-02,0,1,0,73
1387,Laura,71.0,F,Cali,necesitamos más acceso a internet en la zona.,Educación,Urgente,2024-10-10,1,1,0,85
1388,Pedro,74.0,M,Barranquilla,queremos más presencia policial.,Educación,No urgente,2023-05-31,1,1,1,75
1389,Carlos,35.0,Otro,Bogotá,la contaminación del río está aumentando.,Educación,No urgente,2024-02-02,0,1,0,70
1390,Carlos,57.0,F,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-11-06,1,0,1,75
1391,Ana,40.0,F,Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-10-31,1,0,1,100
1392,Valentina,,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,2023-04-10,1,1,0,90
1393,Juan,76.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-08-14,0,0,0,95
1394,Juan,27.0,M,Barranquilla,queremos más presencia policial.,Seguridad,Urgente,2024-05-07,1,1,0,88
1395,Sofía,29.0,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2023-03-07,0,0,1,100
1396,Sofía,40.0,F,Cali,,Seguridad,Urgente,2023-09-14,1,1,0,88
1397,Laura,65.0,Otro,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-04-28,1,0,0,80
1398,Juan,66.0,Otro,Barranquilla,necesitamos más acceso a internet en la zona.,Educación,No urgente,2024-12-01,1,1,1,75
1399,Laura,47.0,M,Cartagena,faltan médicos en el centro de salud.,Educación,Urgente,2023-12-19,1,0,0,85
1400,María,21.0,Otro,Cali,las basuras no se recogen a tiempo.,Salud,No urgente,2023-08-21,0,0,1,95
1401,Carlos,79.0,M,Pereira,,Educación,No urgente,2024-02-18,0,0,1,90
1402,Sofía,80.0,M,Medellín,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2024-01-13,0,1,0,95
1403,María,72.0,Otro,Medellín,queremos más presencia policial.,Seguridad,No urgente,2024-08-26,1,1,1,78
1404,Carlos,61.0,F,Santa Marta,faltan médicos en el centro de salud.,Salud,No urgente,2023-03-17,0,0,1,95
1405,Camilo,30.0,Otro,Cúcuta,,Medio Ambiente,Urgente,2024-03-11,1,1,0,80
1406,Valentina,,M,Bogotá,falta agua potable en varias casas.,Seguridad,No urgente,2024-11-05,1,0,0,58
1407,Carlos,42.0,M,Cali,hay problemas con la recolección de basura.,Educación,Urgente,2024-02-19,1,1,0,85
1408,Camilo,34.0,F,Pereira,faltan médicos en el centro de salud.,Salud,No urgente,2024-01-28,0,0,0,75
1409,Jorge,80.0,F,Santa Marta,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-07-08,0,0,0,100
1410,Carlos,22.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Salud,Urgente,2024-10-16,1,0,1,100
1411,Valentina,71.0,Otro,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2023-10-04,1,0,0,88
1412,Juan,38.0,F,Bogotá,las calles están muy oscuras y peligrosas.,Educación,No urgente,2023-07-06,0,0,1,90
1413,Jorge,43.0,Otro,Cartagena,la contaminación del río está aumentando.,Educación,Urgente,2023-12-30,1,1,1,100
1414,Juan,76.0,,Cartagena,queremos más presencia policial.,Seguridad,No urgente,2023-03-10,0,1,0,73
1415,Juan,70.0,Otro,,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-07-06,0,1,1,100
1416,Pedro,65.0,F,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-11-08,0,0,1,100
1417,María,31.0,F,Santa Marta,faltan médicos en el centro de salud.,Educación,Urgente,2023-07-25,1,1,1,100
1418,Jorge,,F,Cali,hay problemas con la recolección de basura.,Salud,No urgente,2024-03-23,1,1,1,80
1419,Ana,32.0,F,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2024-09-13,1,1,1,100
1420,Juan,62.0,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-01-31,0,1,0,65
1421,Pedro,38.0,F,Medellín,queremos más presencia policial.,Medio Ambiente,No urgente,2023-04-24,0,1,1,85
1422,Laura,77.0,M,Cali,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-11-27,1,0,1,78
1423,Valentina,28.0,Otro,Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-10-15,1,1,1,100
1424,Juan,78.0,M,Cali,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-02-22,0,1,1,90
1425,Camilo,35.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2023-11-29,1,0,1,100
1426,Jorge,33.0,M,Barranquilla,falta agua potable en varias casas.,Educación,No urgente,2023-04-04,0,1,0,70
1427,Carlos,41.0,M,Cali,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-08-01,0,0,0,95
1428,Jorge,73.0,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,2023-08-22,1,1,0,90
1429,Juan,,M,Bogotá,falta agua potable en varias casas.,Seguridad,No urgente,2024-05-11,1,0,0,58
1430,María,71.0,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2024-02-28,1,0,1,78
1431,Juan,27.0,Otro,Bogotá,queremos más presencia policial.,Educación,No urgente,2023-04-05,1,1,0,55
1432,Carlos,48.0,Otro,Santa Marta,faltan médicos en el centro de salud.,Salud,Urgente,2023-10-14,1,0,1,100
1433,Juan,22.0,Otro,Bucaramanga,no hay suficientes escuelas públicas.,Educación,No urgente,2023-07-19,0,0,0,70
1434,Jorge,56.0,M,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2023-12-21,0,1,1,100
1435,Sofía,38.0,M,Barranquilla,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-11-05,0,1,1,100
1436,Juan,61.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,2023-06-19,1,1,0,60
1437,Carlos,,F,Santa Marta,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-01-17,0,1,1,100
1438,Juan,69.0,F,Manizales,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-04-21,1,0,1,75
1439,Juan,35.0,F,Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-08-18,0,1,0,100
1440,Camilo,26.0,M,Bucaramanga,falta agua potable en varias casas.,Educación,Urgente,2023-05-21,0,0,1,100
1441,Laura,68.0,F,Barranquilla,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,2023-07-09,1,1,0,60
1442,Carlos,27.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Salud,No urgente,2023-07-30,0,0,1,95
1443,Pedro,15.0,F,Barranquilla,necesitamos más acceso a internet en la zona.,Educación,Urgente,2023-06-02,0,1,1,100
1444,Camilo,45.0,F,Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-04-23,1,1,1,100
1445,María,19.0,M,Cúcuta,faltan médicos en el centro de salud.,Educación,Urgente,2023-09-21,0,0,0,100
1446,Jorge,73.0,F,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-02-10,0,0,1,100
1447,Ana,72.0,M,Bogotá,queremos más presencia policial.,Salud,Urgente,2023-06-07,0,0,1,100
1448,Carlos,15.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-07-28,0,0,0,100
1449,Laura,,M,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,No urgente,2023-08-06,0,0,1,93
1450,Carlos,61.0,Otro,Bucaramanga,las basuras no se recogen a tiempo.,Salud,No urgente,2024-08-04,1,1,1,80
1451,Carlos,77.0,M,Pereira,las calles están muy oscuras y peligrosas.,Educación,No urgente,2024-06-22,0,1,1,90
1452,Carlos,40.0,M,Cali,faltan médicos en el centro de salud.,Educación,Urgente,2023-02-12,1,0,1,100
1453,Juan,55.0,Otro,Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-08-06,0,0,1,85
1454,Carlos,34.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Salud,No urgente,2023-09-14,0,0,0,75
1455,Camilo,16.0,F,Bucaramanga,faltan médicos en el centro de salud.,Educación,No urgente,2024-07-20,1,0,1,75
1456,Camilo,19.0,Otro,Barranquilla,queremos más presencia policial.,Seguridad,No urgente,2023-09-26,0,1,0,73
1457,Camilo,45.0,M,Bucaramanga,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-01-11,0,1,0,95
1458,Pedro,15.0,F,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-08-26,0,0,0,73
1459,Juan,35.0,M,Cúcuta,las calles están muy oscuras y peligrosas.,Educación,No urgente,2023-10-06,0,1,1,90
1460,Juan,63.0,Otro,Bogotá,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-03-08,0,0,1,100
1461,Valentina,57.0,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,Urgente,2024-09-18,1,0,1,100
1462,Valentina,36.0,Otro,Barranquilla,la contaminación del río está aumentando.,Educación,Urgente,2023-10-07,1,1,0,85
1463,Valentina,24.0,F,Cartagena,faltan médicos en el centro de salud.,Educación,Urgente,2024-04-10,1,0,1,100
1464,Ana,18.0,M,Manizales,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2024-01-24,1,0,1,78
1465,Jorge,30.0,F,Pereira,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-04-14,1,1,0,85
1466,Laura,64.0,F,Medellín,la contaminación del río está aumentando.,Seguridad,Urgente,2024-06-05,1,1,0,88
1467,Camilo,36.0,,Pereira,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-01-03,0,1,0,65
1468,María,24.0,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-02-06,0,0,1,100
1469,Sofía,65.0,,Barranquilla,las basuras no se recogen a tiempo.,Educación,No urgente,2024-01-21,1,0,0,55
1470,Sofía,55.0,F,Santa Marta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2024-08-10,0,1,0,73
1471,María,63.0,M,Santa Marta,las basuras no se recogen a tiempo.,Educación,No urgente,2023-07-11,1,0,0,55
1472,Laura,40.0,M,Barranquilla,la contaminación del río está aumentando.,Seguridad,No urgente,2024-07-13,0,0,1,93
1473,Camilo,75.0,M,Manizales,,Salud,Urgente,2023-03-16,1,0,0,90
1474,Ana,79.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-12-29,1,1,1,100
1475,Valentina,37.0,F,Cúcuta,faltan médicos en el centro de salud.,Salud,Urgente,2024-08-18,0,1,1,100
1476,Jorge,65.0,F,Pereira,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-12-20,0,1,0,100
1477,Sofía,18.0,M,Pereira,faltan médicos en el centro de salud.,Educación,Urgente,2024-07-12,1,1,0,85
1478,Pedro,65.0,Otro,Cali,,Seguridad,No urgente,2023-09-22,0,0,1,93
1479,Pedro,35.0,Otro,Cali,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-05-27,0,1,1,100
1480,Laura,76.0,F,Barranquilla,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-11-26,0,0,0,100
1481,Ana,18.0,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-01-06,0,1,1,95
1482,Ana,20.0,Otro,Cali,queremos más presencia policial.,Seguridad,Urgente,2023-07-21,1,0,0,88
1483,Jorge,30.0,M,Manizales,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-10-06,1,1,0,80
1484,Jorge,77.0,Otro,Barranquilla,hay problemas con la recolección de basura.,Salud,No urgente,2023-10-26,1,0,1,80
1485,Sofía,63.0,Otro,Bucaramanga,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-08-04,0,1,1,93
1486,Jorge,57.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,Urgente,2024-02-21,1,0,0,85
1487,Ana,42.0,Otro,Bogotá,hay problemas con la recolección de basura.,Educación,No urgente,2023-04-04,1,0,1,75
1488,Jorge,49.0,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-04-02,0,0,1,100
1489,Ana,39.0,F,Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-03-03,0,0,0,65
1490,Camilo,24.0,Otro,Medellín,falta agua potable en varias casas.,Educación,Urgente,2023-04-05,0,0,1,100
1491,Ana,53.0,Otro,Manizales,queremos más presencia policial.,Medio Ambiente,Urgente,2023-06-24,1,0,0,80
1492,Jorge,35.0,F,Cali,falta agua potable en varias casas.,Seguridad,Urgente,2024-07-05,1,1,0,88
1493,Pedro,45.0,F,Bucaramanga,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-10-13,0,1,1,95
1494,Sofía,41.0,F,,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2023-12-24,0,0,1,93
1495,Laura,45.0,Otro,Cartagena,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-09-24,1,0,1,100
1496,Jorge,26.0,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-08-03,1,1,0,80
1497,Camilo,69.0,Otro,Bogotá,hay problemas con la recolección de basura.,Seguridad,No urgente,2024-03-31,0,0,1,93
1498,Pedro,25.0,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-03-15,0,1,0,95
1499,María,41.0,F,Medellín,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-11-29,0,1,0,73
1500,Juan,24.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Educación,Urgente,2024-04-28,1,1,0,85
1501,Sofía,72.0,Otro,Manizales,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2024-06-12,1,1,0,80
1502,María,44.0,F,Bucaramanga,queremos más presencia policial.,Seguridad,No urgente,2024-02-18,1,0,1,78
1503,Carlos,22.0,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-07-26,1,0,1,100
1504,Sofía,38.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,Urgente,2024-02-01,0,1,0,100
1505,Laura,52.0,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-10-07,0,0,0,70
1506,Valentina,50.0,M,Cartagena,queremos más presencia policial.,Salud,Urgente,2023-02-04,0,1,0,100
1507,Laura,38.0,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,No urgente,2023-02-04,1,0,1,70
1508,Sofía,,M,Bucaramanga,queremos más presencia policial.,Educación,Urgente,2024-04-14,0,1,0,100
1509,Pedro,37.0,F,Manizales,hay problemas con la recolección de basura.,Seguridad,No urgente,2024-09-22,1,1,0,58
1510,Valentina,47.0,,Cali,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-08-04,0,0,0,100
1511,Valentina,80.0,M,Pereira,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2023-02-20,1,0,0,88
1512,Pedro,69.0,Otro,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-01-06,0,1,1,100
1513,Ana,61.0,Otro,Santa Marta,faltan médicos en el centro de salud.,Medio Ambiente,Urgente,2023-08-10,1,1,0,80
1514,Laura,18.0,Otro,Barranquilla,,Educación,No urgente,2023-08-20,1,1,1,75
1515,Jorge,79.0,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-02-12,1,1,0,80
1516,Valentina,24.0,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,2023-10-06,1,0,0,58
1517,Camilo,54.0,M,Cartagena,no hay suficientes escuelas públicas.,Educación,No urgente,2023-11-09,1,0,0,55
1518,Juan,24.0,M,Medellín,hay problemas con la recolección de basura.,Salud,Urgente,2024-09-21,0,0,0,100
1519,Valentina,37.0,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,2024-10-07,0,1,0,75
1520,Pedro,49.0,M,Medellín,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-10-16,0,0,1,100
1521,Camilo,21.0,F,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,2024-05-03,1,0,1,70
1522,Laura,65.0,M,Bucaramanga,las basuras no se recogen a tiempo.,Salud,No urgente,2023-02-04,0,1,1,95
1523,Ana,55.0,Otro,Medellín,faltan médicos en el centro de salud.,Seguridad,No urgente,2023-04-11,1,1,1,78
1524,Sofía,20.0,Otro,,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-05-20,0,0,0,65
1525,Juan,40.0,Otro,Cúcuta,queremos más presencia policial.,Educación,No urgente,2024-03-20,1,1,0,55
1526,Juan,68.0,M,Pereira,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2023-05-16,1,0,0,50
1527,Juan,61.0,,Cali,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2024-05-23,1,0,1,70
1528,Valentina,39.0,F,Medellín,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-12-02,0,1,0,73
1529,Carlos,77.0,F,Cúcuta,hay problemas con la recolección de basura.,Educación,No urgente,2024-06-20,0,0,1,90
1530,Jorge,35.0,M,Bogotá,falta agua potable en varias casas.,Educación,Urgente,2024-08-14,0,0,0,100
1531,María,62.0,M,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-08-21,0,1,1,100
1532,María,70.0,M,Cúcuta,faltan médicos en el centro de salud.,Educación,Urgente,2024-01-10,0,0,1,100
1533,Sofía,76.0,,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,2023-01-05,0,1,0,100
1534,Sofía,21.0,Otro,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-02-01,1,0,1,100
1535,Ana,74.0,F,Bucaramanga,queremos más presencia policial.,Educación,No urgente,2023-09-22,0,1,0,70
1536,Camilo,16.0,M,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2024-05-16,0,1,0,95
1537,Camilo,,F,Cartagena,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-10-03,1,1,1,100
1538,Carlos,37.0,Otro,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2024-01-11,1,1,0,50
1539,María,55.0,Otro,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-07-28,1,1,0,50
1540,Valentina,66.0,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,No urgente,2024-07-31,0,1,0,73
1541,Valentina,47.0,F,Cali,la contaminación del río está aumentando.,Seguridad,No urgente,2023-03-07,1,0,1,78
1542,Juan,74.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-06-19,0,0,0,100
1543,Pedro,59.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2023-11-29,0,0,1,100
1544,Ana,55.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-01-12,1,0,1,100
1545,Jorge,16.0,Otro,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2023-10-06,1,1,0,80
1546,Pedro,16.0,Otro,Pereira,las calles están muy oscuras y peligrosas.,Educación,Urgente,2024-04-28,0,1,0,100
1547,Jorge,27.0,M,Cartagena,queremos más presencia policial.,Educación,No urgente,2023-08-30,0,0,0,70
1548,Juan,,F,Pereira,la contaminación del río está aumentando.,Seguridad,Urgente,2023-08-22,0,1,1,100
1549,Valentina,51.0,Otro,Medellín,faltan médicos en el centro de salud.,Salud,Urgente,2023-04-27,1,0,0,90
1550,Carlos,75.0,Otro,Santa Marta,faltan médicos en el centro de salud.,Salud,No urgente,2024-08-01,0,1,1,95
1551,Laura,75.0,M,Pereira,no tenemos centros culturales ni bibliotecas.,Salud,No urgente,2023-10-18,0,1,1,95
1552,Camilo,33.0,Otro,Santa Marta,faltan médicos en el centro de salud.,Seguridad,Urgente,2024-02-09,1,0,1,100
1553,Camilo,75.0,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,2024-06-14,0,1,0,75
1554,Pedro,72.0,F,Bogotá,la contaminación del río está aumentando.,Educación,No urgente,2023-04-28,0,0,0,70
1555,Jorge,19.0,F,Medellín,hay problemas con la recolección de basura.,Educación,No urgente,2024-04-30,1,0,1,75
1556,Jorge,42.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2023-05-22,0,1,1,85
1557,Laura,63.0,M,Pereira,necesitamos más acceso a internet en la zona.,Educación,Urgente,2023-07-20,1,1,1,100
1558,Sofía,30.0,F,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2023-10-14,1,1,0,80
1559,Carlos,69.0,F,Cali,hay problemas con la recolección de basura.,Educación,No urgente,2024-09-26,1,1,0,55
1560,Pedro,56.0,Otro,Santa Marta,,Educación,Urgente,2023-07-01,1,1,0,85
1561,Pedro,31.0,Otro,Bogotá,falta agua potable en varias casas.,Educación,No urgente,2023-04-03,0,1,1,90
1562,Laura,70.0,F,Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-10-14,1,1,1,70
1563,Carlos,52.0,M,Bogotá,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-06-22,1,1,1,78
1564,María,,Otro,Manizales,falta agua potable en varias casas.,Salud,Urgente,2024-06-19,1,1,1,100
1565,María,40.0,Otro,Cali,queremos más presencia policial.,Salud,No urgente,2024-07-26,1,1,1,80
1566,Carlos,,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-08-31,1,0,0,80
1567,Sofía,49.0,F,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2024-07-30,0,1,0,65
1568,Juan,56.0,F,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-10-25,0,0,0,70
1569,Jorge,55.0,,Cali,hay problemas con la recolección de basura.,Educación,No urgente,2023-04-06,0,0,1,90
1570,María,,F,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-05-01,1,1,1,100
1571,Laura,31.0,M,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,2024-07-20,0,1,0,75
1572,Sofía,36.0,F,Bucaramanga,no hay suficientes escuelas públicas.,Salud,No urgente,2024-10-18,0,1,0,75
1573,Ana,79.0,F,Pereira,no tenemos centros culturales ni bibliotecas.,Educación,Urgente,2024-11-20,0,0,1,100
1574,Camilo,41.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,No urgente,2024-06-30,1,0,0,50
1575,Camilo,29.0,Otro,Bucaramanga,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-03-04,1,0,1,100
1576,Camilo,59.0,Otro,Cartagena,,Medio Ambiente,No urgente,2023-11-26,1,1,0,50
1577,Jorge,64.0,M,Pereira,no hay suficientes escuelas públicas.,Salud,Urgente,2024-02-26,1,0,1,100
1578,María,60.0,M,Cartagena,falta agua potable en varias casas.,Educación,Urgente,2024-01-12,0,0,1,100
1579,Ana,39.0,,Cali,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2023-04-14,0,1,1,85
1580,Carlos,44.0,F,Cartagena,las basuras no se recogen a tiempo.,Salud,Urgente,2024-01-23,1,0,0,90
1581,Pedro,16.0,Otro,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-05-26,1,0,1,78
1582,María,,Otro,Medellín,las calles están muy oscuras y peligrosas.,Salud,Urgente,2023-09-30,0,0,1,100
1583,Valentina,75.0,Otro,Barranquilla,la contaminación del río está aumentando.,Seguridad,Urgente,2023-10-14,0,0,1,100
1584,María,74.0,Otro,Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-09-25,1,0,0,50
1585,Jorge,47.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Educación,No urgente,2023-01-22,1,1,0,55
1586,Camilo,23.0,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-04-13,0,0,1,93
1587,María,45.0,Otro,Cúcuta,falta agua potable en varias casas.,Educación,Urgente,2023-04-05,0,1,1,100
1588,Pedro,22.0,F,Manizales,no hay suficientes escuelas públicas.,Salud,Urgente,2023-01-04,1,1,0,90
1589,Juan,80.0,Otro,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-10-22,0,1,1,93
1590,Pedro,29.0,Otro,Bogotá,hay problemas con la recolección de basura.,Seguridad,Urgente,2024-11-04,1,0,0,88
1591,Sofía,49.0,Otro,Barranquilla,,Educación,No urgente,2024-02-28,0,1,1,90
1592,María,45.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Salud,No urgente,2023-04-13,1,0,0,60
1593,María,28.0,F,Medellín,queremos más presencia policial.,Seguridad,Urgente,2024-10-08,1,0,1,100
1594,María,41.0,M,Bucaramanga,la contaminación del río está aumentando.,Educación,No urgente,2023-01-29,1,1,1,75
1595,Juan,47.0,M,Medellín,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-07-03,1,1,1,100
1596,Laura,47.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,2023-09-21,1,1,1,80
1597,Laura,80.0,,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-06-10,0,0,0,70
1598,Jorge,68.0,F,Manizales,queremos más presencia policial.,Salud,No urgente,2023-09-21,0,1,1,95
1599,Ana,57.0,Otro,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-05-27,0,0,0,100
1600,Camilo,25.0,Otro,Santa Marta,queremos más presencia policial.,Educación,No urgente,2024-09-26,1,1,1,75
1601,Laura,60.0,Otro,Bogotá,,Medio Ambiente,Urgente,2023-01-19,1,0,1,100
1602,Jorge,32.0,F,Cartagena,las basuras no se recogen a tiempo.,Salud,Urgente,2024-06-27,0,1,0,100
1603,Jorge,21.0,F,Cali,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-07-26,0,1,1,100
1604,Ana,77.0,M,Bucaramanga,las calles están muy oscuras y peligrosas.,Educación,Urgente,2023-07-25,0,0,0,100
1605,Juan,26.0,F,Bogotá,las calles están muy oscuras y peligrosas.,Educación,Urgente,2024-07-10,1,1,1,100
1606,Valentina,36.0,M,Medellín,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-02-23,0,1,1,100
1607,Juan,29.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,No urgente,2023-07-28,0,1,0,73
1608,María,64.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-08-09,1,0,0,60
1609,Carlos,42.0,F,Manizales,hay problemas con la recolección de basura.,Salud,No urgente,2024-08-12,0,0,0,75
1610,María,69.0,M,Santa Marta,queremos más presencia policial.,Educación,Urgente,2024-02-21,0,0,0,100
1611,Ana,70.0,M,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-11-02,1,0,0,88
1612,Ana,21.0,M,Barranquilla,la contaminación del río está aumentando.,Educación,Urgente,2023-09-15,0,1,1,100
